# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
15776024.60938 3774325.84623 2.07371 29873699.04190 0.00000 156855.05718 0.00108 154611.31627 0.00000 0.00000 0.00000 
15777024.60938 3773388.08761 2.07320 29866276.70485 0.00000 156816.08541 0.00108 154572.90197 0.00000 0.00000 0.00000 
15778024.60938 3772450.32900 2.07269 29858854.36780 0.00000 156777.11363 0.00108 154534.48766 0.00000 0.00000 0.00000 
15779024.60938 3771512.57039 2.07217 29851432.03075 0.00000 156738.14186 0.00108 154496.07336 0.00000 0.00000 0.00000 
15780024.60938 3770574.81177 2.07166 29844009.69370 0.00000 156699.17008 0.00108 154457.65906 0.00000 0.00000 0.00000 
15781024.60938 3769637.80408 2.07114 29836593.30017 0.00000 156660.22951 0.00108 154419.27552 0.00000 0.00000 0.00000 
15782024.60938 3768700.86026 2.07063 29829177.41218 0.00000 156621.29160 0.00108 154380.89459 0.00000 0.00000 0.00000 
15783024.60938 3767763.91644 2.07012 29821761.52420 0.00000 156582.35368 0.00108 154342.51367 0.00000 0.00000 0.00000 
15784024.60938 3766826.97262 2.06960 29814345.63622 0.00000 156543.41577 0.00108 154304.13274 0.00000 0.00000 0.00000 
15785024.60938 3765890.02880 2.06909 29806929.74823 0.00000 156504.47785 0.00108 154265.75182 0.00000 0.00000 0.00000 
15786024.60938 3764953.08497 2.06858 29799513.86025 0.00000 156465.53994 0.00108 154227.37089 0.00000 0.00000 0.00000 
15787024.60938 3764016.14115 2.06806 29792097.97226 0.00000 156426.60203 0.00108 154188.98997 0.00000 0.00000 0.00000 
15788024.60938 3763079.19733 2.06755 29784682.08428 0.00000 156387.66411 0.00108 154150.60904 0.00000 0.00000 0.00000 
15789024.60938 3762142.25351 2.06703 29777266.19630 0.00000 156348.72620 0.00108 154112.22812 0.00000 0.00000 0.00000 
15790024.60938 3761205.30969 2.06652 29769850.30831 0.00000 156309.78828 0.00108 154073.84719 0.00000 0.00000 0.00000 
15791024.60938 3760268.36587 2.06601 29762434.42033 0.00000 156270.85037 0.00108 154035.46627 0.00000 0.00000 0.00000 
15792024.60938 3759331.42205 2.06549 29755018.53234 0.00000 156231.91245 0.00108 153997.08534 0.00000 0.00000 0.00000 
15793024.60938 3758394.47823 2.06498 29747602.64436 0.00000 156192.97454 0.00108 153958.70442 0.00000 0.00000 0.00000 
15794024.60938 3757457.62491 2.06447 29740187.47268 0.00000 156154.04039 0.00108 153920.32720 0.00000 0.00000 0.00000 
15795024.60938 3756521.49928 2.06395 29732778.06070 0.00000 156115.13648 0.00108 153881.97979 0.00000 0.00000 0.00000 
15796024.60938 3755585.37366 2.06344 29725368.64873 0.00000 156076.23256 0.00108 153843.63238 0.00000 0.00000 0.00000 
15797024.60938 3754649.24803 2.06293 29717959.23675 0.00000 156037.32865 0.00108 153805.28497 0.00000 0.00000 0.00000 
15798024.60938 3753713.12241 2.06241 29710549.82477 0.00000 155998.42474 0.00108 153766.93757 0.00000 0.00000 0.00000 
15799024.60938 3752776.99678 2.06190 29703140.41279 0.00000 155959.52083 0.00108 153728.59016 0.00000 0.00000 0.00000 
15800024.60938 3751840.87116 2.06139 29695731.00082 0.00000 155920.61692 0.00108 153690.24275 0.00000 0.00000 0.00000 
15801024.60938 3750904.74554 2.06087 29688321.58884 0.00000 155881.71301 0.00108 153651.89534 0.00000 0.00000 0.00000 
15802024.60938 3749968.61991 2.06036 29680912.17686 0.00000 155842.80910 0.00108 153613.54793 0.00000 0.00000 0.00000 
15803024.60938 3749032.49429 2.05985 29673502.76488 0.00000 155803.90518 0.00107 153575.20052 0.00000 0.00000 0.00000 
15804024.60938 3748096.36866 2.05933 29666093.35290 0.00000 155765.00127 0.00107 153536.85312 0.00000 0.00000 0.00000 
15805024.60938 3747160.24304 2.05882 29658683.94093 0.00000 155726.09736 0.00107 153498.50571 0.00000 0.00000 0.00000 
15806024.60938 3746224.11741 2.05831 29651274.52895 0.00000 155687.19345 0.00107 153460.15830 0.00000 0.00000 0.00000 
15807024.60938 3745287.99179 2.05779 29643865.11697 0.00000 155648.28954 0.00107 153421.81089 0.00000 0.00000 0.00000 
15808024.60938 3744352.09831 2.05728 29636457.54240 0.00000 155609.39528 0.00107 153383.47299 0.00000 0.00000 0.00000 
15809024.60938 3743416.77983 2.05677 29629054.51899 0.00000 155570.52491 0.00107 153345.15865 0.00000 0.00000 0.00000 
15810024.60938 3742481.46136 2.05626 29621651.49557 0.00000 155531.65454 0.00107 153306.84430 0.00000 0.00000 0.00000 
15811024.60938 3741546.14288 2.05574 29614248.47216 0.00000 155492.78417 0.00107 153268.52996 0.00000 0.00000 0.00000 
15812024.60938 3740610.82440 2.05523 29606845.44874 0.00000 155453.91380 0.00107 153230.21561 0.00000 0.00000 0.00000 
15813024.60938 3739675.50593 2.05472 29599442.42533 0.00000 155415.04344 0.00107 153191.90127 0.00000 0.00000 0.00000 
15814024.60938 3738740.18745 2.05420 29592039.40191 0.00000 155376.17307 0.00107 153153.58692 0.00000 0.00000 0.00000 
15815024.60938 3737804.86898 2.05369 29584636.37850 0.00000 155337.30270 0.00107 153115.27258 0.00000 0.00000 0.00000 
15816024.60938 3736869.55050 2.05318 29577233.35508 0.00000 155298.43233 0.00107 153076.95824 0.00000 0.00000 0.00000 
15817024.60938 3735934.23203 2.05267 29569830.33167 0.00000 155259.56197 0.00107 153038.64389 0.00000 0.00000 0.00000 
15818024.60938 3734998.91355 2.05215 29562427.30825 0.00000 155220.69160 0.00107 153000.32955 0.00000 0.00000 0.00000 
15819024.60938 3734063.59507 2.05164 29555024.28484 0.00000 155181.82123 0.00107 152962.01520 0.00000 0.00000 0.00000 
15820024.60938 3733128.27660 2.05113 29547621.26142 0.00000 155142.95086 0.00107 152923.70086 0.00000 0.00000 0.00000 
15821024.60938 3732192.95812 2.05061 29540218.23801 0.00000 155104.08050 0.00107 152885.38651 0.00000 0.00000 0.00000 
15822024.60938 3731258.00869 2.05010 29532818.13557 0.00000 155065.22547 0.00107 152847.08729 0.00000 0.00000 0.00000 
15823024.60938 3730323.50559 2.04959 29525421.56578 0.00000 155026.38898 0.00107 152808.80634 0.00000 0.00000 0.00000 
15824024.60938 3729389.00248 2.04908 29518024.99600 0.00000 154987.55250 0.00107 152770.52540 0.00000 0.00000 0.00000 
15825024.60938 3728454.49937 2.04856 29510628.42622 0.00000 154948.71602 0.00107 152732.24446 0.00000 0.00000 0.00000 
15826024.60938 3727519.99627 2.04805 29503231.85644 0.00000 154909.87954 0.00107 152693.96351 0.00000 0.00000 0.00000 
15827024.60938 3726585.49316 2.04754 29495835.28666 0.00000 154871.04306 0.00107 152655.68257 0.00000 0.00000 0.00000 
15828024.60938 3725650.99006 2.04703 29488438.71688 0.00000 154832.20657 0.00107 152617.40162 0.00000 0.00000 0.00000 
15829024.60938 3724716.48695 2.04652 29481042.14709 0.00000 154793.37009 0.00107 152579.12068 0.00000 0.00000 0.00000 
15830024.60938 3723781.98384 2.04600 29473645.57731 0.00000 154754.53361 0.00107 152540.83974 0.00000 0.00000 0.00000 
15831024.60938 3722847.48074 2.04549 29466249.00753 0.00000 154715.69713 0.00107 152502.55879 0.00000 0.00000 0.00000 
15832024.60938 3721912.97763 2.04498 29458852.43775 0.00000 154676.86065 0.00107 152464.27785 0.00000 0.00000 0.00000 
15833024.60938 3720978.47453 2.04447 29451455.86797 0.00000 154638.02416 0.00107 152425.99691 0.00000 0.00000 0.00000 
15834024.60938 3720043.97142 2.04395 29444059.29818 0.00000 154599.18768 0.00107 152387.71596 0.00000 0.00000 0.00000 
15835024.60938 3719109.46832 2.04344 29436662.72840 0.00000 154560.35120 0.00107 152349.43502 0.00000 0.00000 0.00000 
15836024.60938 3718175.45233 2.04293 29429270.01416 0.00000 154521.53496 0.00107 152311.17403 0.00000 0.00000 0.00000 
15837024.60938 3717241.75357 2.04242 29421879.81076 0.00000 154482.73191 0.00107 152272.92604 0.00000 0.00000 0.00000 
15838024.60938 3716308.05481 2.04191 29414489.60736 0.00000 154443.92885 0.00107 152234.67804 0.00000 0.00000 0.00000 
15839024.60938 3715374.35605 2.04139 29407099.40395 0.00000 154405.12580 0.00107 152196.43005 0.00000 0.00000 0.00000 
15840024.60938 3714440.65729 2.04088 29399709.20055 0.00000 154366.32274 0.00107 152158.18205 0.00000 0.00000 0.00000 
15841024.60938 3713506.95853 2.04037 29392318.99715 0.00000 154327.51969 0.00106 152119.93406 0.00000 0.00000 0.00000 
15842024.60938 3712573.25977 2.03986 29384928.79375 0.00000 154288.71663 0.00106 152081.68606 0.00000 0.00000 0.00000 
15843024.60938 3711639.56101 2.03935 29377538.59035 0.00000 154249.91358 0.00106 152043.43807 0.00000 0.00000 0.00000 
15844024.60938 3710705.86225 2.03883 29370148.38694 0.00000 154211.11052 0.00106 152005.19007 0.00000 0.00000 0.00000 
15845024.60938 3709772.16349 2.03832 29362758.18354 0.00000 154172.30747 0.00106 151966.94208 0.00000 0.00000 0.00000 
15846024.60938 3708838.46473 2.03781 29355367.98014 0.00000 154133.50442 0.00106 151928.69409 0.00000 0.00000 0.00000 
15847024.60938 3707904.76597 2.03730 29347977.77674 0.00000 154094.70136 0.00106 151890.44609 0.00000 0.00000 0.00000 
15848024.60938 3706971.06721 2.03679 29340587.57334 0.00000 154055.89831 0.00106 151852.19810 0.00000 0.00000 0.00000 
15849024.60938 3706037.36845 2.03627 29333197.36993 0.00000 154017.09525 0.00106 151813.95010 0.00000 0.00000 0.00000 
15850024.60938 3705104.32298 2.03576 29325812.33729 0.00000 153978.31935 0.00106 151775.72887 0.00000 0.00000 0.00000 
15851024.60938 3704171.49923 2.03525 29318429.05954 0.00000 153939.55266 0.00106 151737.51672 0.00000 0.00000 0.00000 
15852024.60938 3703238.67547 2.03474 29311045.78179 0.00000 153900.78596 0.00106 151699.30457 0.00000 0.00000 0.00000 
15853024.60938 3702305.85172 2.03423 29303662.50404 0.00000 153862.01927 0.00106 151661.09242 0.00000 0.00000 0.00000 
15854024.60938 3701373.02796 2.03372 29296279.22629 0.00000 153823.25258 0.00106 151622.88027 0.00000 0.00000 0.00000 
15855024.60938 3700440.20421 2.03321 29288895.94854 0.00000 153784.48589 0.00106 151584.66811 0.00000 0.00000 0.00000 
15856024.60938 3699507.38046 2.03269 29281512.67079 0.00000 153745.71920 0.00106 151546.45596 0.00000 0.00000 0.00000 
15857024.60938 3698574.55670 2.03218 29274129.39304 0.00000 153706.95251 0.00106 151508.24381 0.00000 0.00000 0.00000 
15858024.60938 3697641.73295 2.03167 29266746.11529 0.00000 153668.18582 0.00106 151470.03166 0.00000 0.00000 0.00000 
15859024.60938 3696708.90920 2.03116 29259362.83754 0.00000 153629.41913 0.00106 151431.81951 0.00000 0.00000 0.00000 
15860024.60938 3695776.08544 2.03065 29251979.55979 0.00000 153590.65244 0.00106 151393.60736 0.00000 0.00000 0.00000 
