# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
11945050.00000 81089787.56885 8674.44338 40677026.26408 0.00000 402426.61732 0.00400 414073.36265 0.00000 0.00000 0.00000 
11946050.00000 81055085.58486 8670.73135 40659618.72686 0.00000 402254.40079 0.00400 413896.16195 0.00000 0.00000 0.00000 
11947050.00000 81020383.60087 8667.01932 40642211.18965 0.00000 402082.18426 0.00400 413718.96125 0.00000 0.00000 0.00000 
11948050.00000 80985685.43027 8663.30770 40624805.56533 0.00000 401909.98665 0.00400 413541.78003 0.00000 0.00000 0.00000 
11949050.00000 80951013.71120 8659.59890 40607413.20989 0.00000 401737.92032 0.00399 413364.73387 0.00000 0.00000 0.00000 
11950050.00000 80916341.99213 8655.89011 40590020.85445 0.00000 401565.85398 0.00399 413187.68771 0.00000 0.00000 0.00000 
11951050.00000 80881670.27306 8652.18132 40572628.49901 0.00000 401393.78765 0.00399 413010.64156 0.00000 0.00000 0.00000 
11952050.00000 80846998.55400 8648.47253 40555236.14357 0.00000 401221.72131 0.00399 412833.59540 0.00000 0.00000 0.00000 
11953050.00000 80812326.83493 8644.76373 40537843.78812 0.00000 401049.65498 0.00399 412656.54924 0.00000 0.00000 0.00000 
11954050.00000 80777655.11586 8641.05494 40520451.43268 0.00000 400877.58864 0.00399 412479.50308 0.00000 0.00000 0.00000 
11955050.00000 80742983.39680 8637.34615 40503059.07724 0.00000 400705.52231 0.00398 412302.45693 0.00000 0.00000 0.00000 
11956050.00000 80708311.67773 8633.63736 40485666.72180 0.00000 400533.45597 0.00398 412125.41077 0.00000 0.00000 0.00000 
11957050.00000 80673639.95866 8629.92856 40468274.36635 0.00000 400361.38964 0.00398 411948.36461 0.00000 0.00000 0.00000 
11958050.00000 80638968.23960 8626.21977 40450882.01091 0.00000 400189.32330 0.00398 411771.31846 0.00000 0.00000 0.00000 
11959050.00000 80604316.20081 8622.51308 40433499.52767 0.00000 400017.35463 0.00398 411594.37280 0.00000 0.00000 0.00000 
11960050.00000 80569673.89919 8618.80743 40416121.92889 0.00000 399845.43429 0.00398 411417.47686 0.00000 0.00000 0.00000 
