# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5686747.96753 325988873.20754 67.45577 2572430604.91519 12212.50352 0.00000 0.02033 5548597.04341 7870062.96718 3921977584158.41602 2.00000 0.00000 
5687747.96753 325757075.60822 67.41062 2570601452.85640 12203.82381 0.00000 0.02032 5544651.65895 7864466.88155 3921977584158.41602 2.00000 0.00000 
5688747.96753 325525278.00891 67.36547 2568772300.79759 12195.14409 0.00000 0.02031 5540706.27448 7858870.79593 3921977584158.41602 2.00000 0.00000 
5689747.96753 325293480.40962 67.32031 2566943148.73877 12186.46435 0.00000 0.02029 5536760.89002 7853274.71030 3921977584158.41602 2.00000 0.00000 
5690747.96753 325061790.53771 67.27517 2565114846.77396 12177.78865 0.00000 0.02028 5532817.33916 7847681.22544 3921977584158.41602 2.00000 0.00000 
5691747.96753 324830197.75598 67.23005 2563287310.96321 12169.11657 0.00000 0.02026 5528875.44086 7842090.08454 3921977584158.41602 2.00000 0.00000 
5692747.96753 324598604.97427 67.18491 2561459775.15245 12160.44449 0.00000 0.02025 5524933.54256 7836498.94365 3921977584158.41602 2.00000 0.00000 
5693747.96753 324367012.19257 67.13978 2559632239.34168 12151.77239 0.00000 0.02024 5520991.64425 7830907.80275 3921977584158.41602 2.00000 0.00000 
5694747.96753 324135419.41089 67.09463 2557804703.53089 12143.10029 0.00000 0.02022 5517049.74595 7825316.66185 3921977584158.41602 2.00000 0.00000 
5695747.96753 323814432.97898 67.03098 2555271748.05488 12131.07922 0.00000 0.02020 5511586.29466 7817567.36860 3921977584158.41602 2.00000 0.00000 
5696747.96753 323419225.69802 66.95196 2552153103.92683 12116.27759 0.00000 0.02018 5504859.54386 7808026.22659 3921977584158.41602 2.00000 0.00000 
5697747.96753 323024018.41708 66.87293 2549034459.79875 12101.47595 0.00000 0.02016 5498132.79306 7798485.08458 3921977584158.41602 2.00000 0.00000 
5698747.96753 322628811.13616 66.79389 2545915815.67066 12086.67429 0.00000 0.02013 5491406.04226 7788943.94256 3921977584158.41602 2.00000 0.00000 
5699747.96753 322233603.85527 66.71485 2542797171.54254 12071.87262 0.00000 0.02011 5484679.29146 7779402.80055 3921977584158.41602 2.00000 0.00000 
5700747.96753 321838592.64952 66.63584 2539680074.67474 12057.07828 0.00000 0.02008 5477955.87802 7769866.39221 3921977584158.41602 2.00000 0.00000 
5701747.96753 321443733.96678 66.55686 2536564181.39039 12042.28964 0.00000 0.02006 5471235.06065 7760333.66610 3921977584158.41602 2.00000 0.00000 
5702747.96753 321048875.28407 66.47787 2533448288.10603 12027.50098 0.00000 0.02004 5464514.24328 7750800.93999 3921977584158.41602 2.00000 0.00000 
5703747.96753 320654016.60138 66.39888 2530332394.82164 12012.71231 0.00000 0.02001 5457793.42590 7741268.21388 3921977584158.41602 2.00000 0.00000 
5704747.96753 320259157.91871 66.31988 2527216501.53723 11997.92362 0.00000 0.01999 5451072.60853 7731735.48777 3921977584158.41602 2.00000 0.00000 
5705747.96753 319958390.11442 66.26036 2524843094.50048 11986.65987 0.00000 0.01997 5445953.29480 7724474.31507 3921977584158.41602 2.00000 0.00000 
5706747.96753 319727404.99320 66.21528 2523020353.83424 11978.01038 0.00000 0.01996 5442021.73937 7718897.84438 3921977584158.41602 2.00000 0.00000 
5707747.96753 319496419.87199 66.17020 2521197613.16799 11969.36088 0.00000 0.01994 5438090.18394 7713321.37369 3921977584158.41602 2.00000 0.00000 
5708747.96753 319265434.75079 66.12512 2519374872.50172 11960.71138 0.00000 0.01993 5434158.62851 7707744.90300 3921977584158.41602 2.00000 0.00000 
5709747.96753 319034449.62961 66.08002 2517552131.83544 11952.06186 0.00000 0.01991 5430227.07309 7702168.43231 3921977584158.41602 2.00000 0.00000 
5710747.96753 318768204.48652 66.02762 2515451148.66753 11942.09139 0.00000 0.01990 5425695.36327 7695740.70989 3921977584158.41602 2.00000 0.00000 
5711747.96753 318476579.65642 65.96996 2513149890.30907 11931.17009 0.00000 0.01988 5420731.67043 7688700.26798 3921977584158.41602 2.00000 0.00000 
5712747.96753 318184954.82633 65.91229 2510848631.95060 11920.24879 0.00000 0.01986 5415767.97760 7681659.82607 3921977584158.41602 2.00000 0.00000 
5713747.96753 317893329.99626 65.85462 2508547373.59211 11909.32747 0.00000 0.01984 5410804.28476 7674619.38416 3921977584158.41602 2.00000 0.00000 
5714747.96753 317601705.16621 65.79694 2506246115.23360 11898.40614 0.00000 0.01983 5405840.59193 7667578.94226 3921977584158.41602 2.00000 0.00000 
5715747.96753 317310231.06432 65.73929 2503946046.29518 11887.49045 0.00000 0.01981 5400879.46461 7660542.13925 3921977584158.41602 2.00000 0.00000 
5716747.96753 317018864.12400 65.68165 2501646822.98570 11876.57877 0.00000 0.01979 5395920.16127 7653507.92334 3921977584158.41602 2.00000 0.00000 
5717747.96753 316727497.18369 65.62401 2499347599.67621 11865.66707 0.00000 0.01977 5390960.85793 7646473.70744 3921977584158.41602 2.00000 0.00000 
5718747.96753 316436130.24340 65.56636 2497048376.36670 11854.75536 0.00000 0.01976 5386001.55459 7639439.49154 3921977584158.41602 2.00000 0.00000 
5719747.96753 316144763.30313 65.50871 2494749153.05717 11843.84364 0.00000 0.01974 5381042.25124 7632405.27563 3921977584158.41602 2.00000 0.00000 
5720747.96753 315853544.91408 65.45108 2492451101.98907 11832.93747 0.00000 0.01972 5376085.47637 7625374.64607 3921977584158.41602 2.00000 0.00000 
5721747.96753 315562432.74914 65.39346 2490153889.15237 11822.03527 0.00000 0.01970 5371130.50951 7618346.58098 3921977584158.41602 2.00000 0.00000 
5722747.96753 315271320.58422 65.33585 2487856676.31564 11811.13306 0.00000 0.01969 5366175.54265 7611318.51590 3921977584158.41602 2.00000 0.00000 
5723747.96753 314980208.41931 65.27822 2485559463.47891 11800.23084 0.00000 0.01967 5361220.57579 7604290.45081 3921977584158.41602 2.00000 0.00000 
5724747.96753 314689096.25442 65.22059 2483262250.64215 11789.32861 0.00000 0.01965 5356265.60894 7597262.38572 3921977584158.41602 2.00000 0.00000 
5725747.96753 314398132.43951 65.16299 2480966208.45882 11778.43193 0.00000 0.01963 5351313.16712 7590237.90212 3921977584158.41602 2.00000 0.00000 
5726747.96753 314107277.26116 65.10540 2478671023.54389 11767.53930 0.00000 0.01962 5346362.57438 7583216.04123 3921977584158.41602 2.00000 0.00000 
5727747.96753 313816422.08283 65.04781 2476375838.62894 11756.64667 0.00000 0.01960 5341411.98164 7576194.18034 3921977584158.41602 2.00000 0.00000 
5728747.96753 313525566.90452 64.99021 2474080653.71398 11745.75402 0.00000 0.01958 5336461.38890 7569172.31945 3921977584158.41602 2.00000 0.00000 
5729747.96753 313234711.72622 64.93261 2471785468.79900 11734.86136 0.00000 0.01956 5331510.79617 7562150.45857 3921977584158.41602 2.00000 0.00000 
5730747.96753 312943997.22828 64.87503 2469491394.01525 11723.97397 0.00000 0.01955 5326562.59793 7555131.99400 3921977584158.41602 2.00000 0.00000 
5731747.96753 312653390.13396 64.81747 2467198166.77051 11713.09058 0.00000 0.01953 5321616.22778 7548116.12238 3921977584158.41602 2.00000 0.00000 
5732747.96753 312362783.03965 64.75990 2464904939.52576 11702.20718 0.00000 0.01951 5316669.85763 7541100.25077 3921977584158.41602 2.00000 0.00000 
5733747.96753 312072175.94536 64.70233 2462611712.28098 11691.32378 0.00000 0.01949 5311723.48749 7534084.37915 3921977584158.41602 2.00000 0.00000 
5734747.96753 311781568.85109 64.64475 2460318485.03619 11680.44036 0.00000 0.01948 5306777.11734 7527068.50754 3921977584158.41602 2.00000 0.00000 
