# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5765247.96753 306110696.84859 147.56049 2416497987.70307 0.00275 101.86141 0.01867 6239258.63841 6360688.65305 3921977584158.41602 2.00000 2.00000 
5766247.96753 305906947.89541 147.46473 2414889553.44115 0.00276 101.76731 0.01866 6235105.74065 6356454.95711 3921977584158.41602 2.00000 2.00000 
5767247.96753 305703220.86737 147.36899 2413281292.26056 0.00276 101.67329 0.01865 6230953.28981 6352221.71672 3921977584158.41602 2.00000 2.00000 
5768247.96753 305499493.83934 147.27324 2411673031.08000 0.00277 101.57932 0.01864 6226800.83901 6347988.47630 3921977584158.41602 2.00000 2.00000 
5769247.96753 305295766.81132 147.17749 2410064769.89946 0.00278 101.48541 0.01863 6222648.38823 6343755.23586 3921977584158.41602 2.00000 2.00000 
5770247.96753 305092039.78329 147.08173 2408456508.71895 0.00278 101.39156 0.01861 6218495.93748 6339521.99538 3921977584158.41602 2.00000 2.00000 
5771247.96753 304888462.99695 146.98604 2406849433.57578 0.00279 101.29783 0.01860 6214346.54904 6335291.87676 3921977584158.41602 2.00000 2.00000 
5772247.96753 304684917.51506 146.89035 2405242605.55609 0.00280 101.20416 0.01859 6210197.79869 6331062.40858 3921977584158.41602 2.00000 2.00000 
5773247.96753 304481372.03318 146.79467 2403635777.53643 0.00280 101.11055 0.01858 6206049.04837 6326832.94037 3921977584158.41602 2.00000 2.00000 
5774247.96753 304277826.55130 146.69898 2402028949.51678 0.00281 101.01699 0.01857 6201900.29808 6322603.47213 3921977584158.41602 2.00000 2.00000 
5775247.96753 304074281.06943 146.60328 2400422121.49717 0.00282 100.92350 0.01855 6197751.54781 6318374.00386 3921977584158.41602 2.00000 2.00000 
5776247.96753 303870873.40733 146.50765 2398816381.45393 0.00282 100.83011 0.01854 6193605.60667 6314147.39933 3921977584158.41602 2.00000 2.00000 
5777247.96753 303667505.12465 146.41203 2397210952.27953 0.00283 100.73680 0.01853 6189460.46821 6309921.61303 3921977584158.41602 2.00000 2.00000 
5778247.96753 303464136.84197 146.31640 2395605523.10515 0.00284 100.64354 0.01852 6185315.32977 6305695.82671 3921977584158.41602 2.00000 2.00000 
5779247.96753 303260768.55929 146.22077 2394000093.93080 0.00285 100.55034 0.01851 6181170.19136 6301470.04035 3921977584158.41602 2.00000 2.00000 
5780247.96753 303057400.27663 146.12514 2392394664.75647 0.00285 100.45720 0.01849 6177025.05298 6297244.25397 3921977584158.41602 2.00000 2.00000 
5781247.96753 302854159.98649 146.02956 2390790245.98035 0.00286 100.36416 0.01848 6172882.52343 6293021.12712 3921977584158.41602 2.00000 2.00000 
5782247.96753 302650968.59476 145.93400 2389186213.21779 0.00287 100.27120 0.01847 6168740.99056 6288799.01630 3921977584158.41602 2.00000 2.00000 
5783247.96753 302447777.20303 145.83844 2387582180.45525 0.00287 100.17829 0.01846 6164599.45772 6284576.90546 3921977584158.41602 2.00000 2.00000 
5784247.96753 302244585.81131 145.74287 2385978147.69274 0.00288 100.08544 0.01845 6160457.92492 6280354.79458 3921977584158.41602 2.00000 2.00000 
5785247.96753 302041394.41959 145.64730 2384374114.93025 0.00289 99.99265 0.01843 6156316.39214 6276132.68368 3921977584158.41602 2.00000 2.00000 
5786247.96753 301838323.11647 145.55178 2382771030.17073 0.00289 99.89996 0.01842 6152177.30708 6271913.06807 3921977584158.41602 2.00000 2.00000 
5787247.96753 301635312.31792 145.45628 2381168423.04621 0.00290 99.80734 0.01841 6148039.45527 6267694.70966 3921977584158.41602 2.00000 2.00000 
5788247.96753 301432301.51938 145.36078 2379565815.92173 0.00291 99.71479 0.01840 6143901.60350 6263476.35122 3921977584158.41602 2.00000 2.00000 
5789247.96753 301229290.72084 145.26528 2377963208.79726 0.00291 99.62229 0.01839 6139763.75175 6259257.99276 3921977584158.41602 2.00000 2.00000 
5790247.96753 301026279.92231 145.16977 2376360601.67282 0.00292 99.52985 0.01837 6135625.90003 6255039.63426 3921977584158.41602 2.00000 2.00000 
5791247.96753 300823373.59687 145.07430 2374758819.27943 0.00293 99.43750 0.01836 6131490.17775 6250823.44659 3921977584158.41602 2.00000 2.00000 
5792247.96753 300620536.37986 144.97887 2373157582.44164 0.00294 99.34523 0.01835 6127355.86409 6246608.69489 3921977584158.41602 2.00000 2.00000 
5793247.96753 300417699.16286 144.88343 2371556345.60388 0.00294 99.25302 0.01834 6123221.55046 6242393.94317 3921977584158.41602 2.00000 2.00000 
5794247.96753 300214861.94587 144.78798 2369955108.76614 0.00295 99.16087 0.01833 6119087.23686 6238179.19142 3921977584158.41602 2.00000 2.00000 
5795247.96753 300012024.72888 144.69253 2368353871.92843 0.00296 99.06877 0.01831 6114952.92329 6233964.43964 3921977584158.41602 2.00000 2.00000 
5796247.96753 299809282.99578 144.59713 2366753388.85930 0.00296 98.97677 0.01830 6110820.55593 6229751.67189 3921977584158.41602 2.00000 2.00000 
5797247.96753 299606624.43116 144.50175 2365153562.33848 0.00297 98.88485 0.01829 6106689.88377 6225540.63228 3921977584158.41602 2.00000 2.00000 
5798247.96753 299403965.86654 144.40638 2363553735.81767 0.00298 98.79298 0.01828 6102559.21164 6221329.59264 3921977584158.41602 2.00000 2.00000 
5799247.96753 299201307.30193 144.31099 2361953909.29689 0.00299 98.70118 0.01827 6098428.53954 6217118.55297 3921977584158.41602 2.00000 2.00000 
5800247.96753 298998648.73733 144.21561 2360354082.77614 0.00299 98.60943 0.01825 6094297.86747 6212907.51327 3921977584158.41602 2.00000 2.00000 
5801247.96753 298796073.27192 144.12026 2358754912.25673 0.00300 98.51776 0.01824 6090168.88918 6208698.20027 3921977584158.41602 2.00000 2.00000 
5802247.96753 298593594.35501 144.02495 2357156503.91018 0.00301 98.42618 0.01823 6086041.87881 6204490.89342 3921977584158.41602 2.00000 2.00000 
5803247.96753 298391115.43810 143.92963 2355558095.56366 0.00301 98.33466 0.01822 6081914.86846 6200283.58655 3921977584158.41602 2.00000 2.00000 
5804247.96753 298188636.52121 143.83431 2353959687.21716 0.00302 98.24320 0.01821 6077787.85815 6196076.27964 3921977584158.41602 2.00000 2.00000 
5805247.96753 297986157.60431 143.73899 2352361278.87068 0.00303 98.15179 0.01819 6073660.84786 6191868.97271 3921977584158.41602 2.00000 2.00000 
5806247.96753 297783746.40106 143.64370 2350763405.06898 0.00304 98.06047 0.01818 6069535.21776 6187663.07278 3921977584158.41602 2.00000 2.00000 
5807247.96753 297581442.83200 143.54845 2349166380.95272 0.00304 97.96923 0.01817 6065411.78153 6183459.40935 3921977584158.41602 2.00000 2.00000 
5808247.96753 297379139.26294 143.45320 2347569356.83649 0.00305 97.87805 0.01816 6061288.34533 6179255.74589 3921977584158.41602 2.00000 2.00000 
5809247.96753 297176835.69389 143.35794 2345972332.72029 0.00306 97.78693 0.01815 6057164.90916 6175052.08241 3921977584158.41602 2.00000 2.00000 
5810247.96753 296974532.12485 143.26268 2344375308.60411 0.00306 97.69586 0.01814 6053041.47302 6170848.41890 3921977584158.41602 2.00000 2.00000 
5811247.96753 296772282.00868 143.16744 2342778706.45542 0.00307 97.60487 0.01812 6048919.12640 6166645.86606 3921977584158.41602 2.00000 2.00000 
5812247.96753 296570153.48402 143.07225 2341183064.17403 0.00308 97.51398 0.01811 6044799.25813 6162445.83974 3921977584158.41602 2.00000 2.00000 
5813247.96753 296368024.95937 142.97706 2339587421.89267 0.00309 97.42314 0.01810 6040679.38989 6158245.81340 3921977584158.41602 2.00000 2.00000 
